Mina,Mail,商品,female,2023-05-24 11:22:48,700,2,プレゼント
Mina,Mail,商品,female,2023-05-24 11:22:50,700,2,プレゼント
Mina,Mail,商品,female,2023-05-24 11:22:55,700,3,プレゼント
Mina,Mail,商品,female,2023-05-24 11:22:58,700,4,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:00,700,4,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:02,700,4,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:06,700,5,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:08,700,5,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:11,700,5,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:13,700,5,プレゼント
Mina,Mail,商品,female,2023-05-24 11:23:15,700,5,プレゼント
Mina,Mail,商品,female,2023-05-24 11:25:08,700,1,プレゼント
Mina,Mail,商品,female,2023-05-24 11:25:29,700,1,プレゼント
Mina,Mail,商品,female,2023-05-24 11:25:40,700,2,プレゼント
Mina,Mail,商品,female,2023-05-24 11:25:49,700,2,プレゼント
